code,product_name,brands,categories,labels,countries_en,quantity(g),url,ingredients_text,allergens,traces,nutriscore_grade,nutriscore_score,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,nova_group,image_url,image_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url
4011,bananer bama,bama dagligvare  as,"['aliments d origine vegetale', 'fruits and vegetables based foods', 'fruits based foods', 'fruits', 'tropical fruits', 'bananas']",no gluten,"canada,united states",200.0,http://world-en.openfoodfacts.org/product/00004011/bananer-bama-bama-dagligvare-as,['cavendish bananas'],unknown,unknow,c,4.0,502.1,0.0,0.0,31.0,17.0,4.0,1.0,0.0,,https://images.openfoodfacts.org/images/products/000/000/000/4011/front_en.36.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4011/front_en.36.200.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4011/ingredients_en.37.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4011/ingredients_en.37.200.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4011/nutrition_en.40.400.jpg
4066,green beans,unknow,"['aliments d origine vegetale', 'legumes and their products', 'fruits and vegetables based foods', 'legumes', 'vegetables based foods', 'fresh foods', 'fresh plant-based foods', 'green beans', 'fresh legumes', 'fresh vegetables', 'fresh green beans']",unknow,"canada,united states",100.0,http://world-en.openfoodfacts.org/product/00004066/green-beans,['green beans'],unknown,unknow,unknow,,150.6,0.0,,8.0,,,2.0,,1.0,https://images.openfoodfacts.org/images/products/000/000/000/4066/front_en.10.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4066/front_en.10.200.jpg,unknow,unknow,unknow
4067,zucchini,unknow,"['aliments d origine vegetale', 'fruits and vegetables based foods', 'vegetables based foods', 'vegetables', 'fresh foods', 'fresh plant-based foods', 'fresh vegetables', 'zucchini', 'fresh zucchini']",unknow,"canada,united states",200.0,http://world-en.openfoodfacts.org/product/00004067/zucchini,['zucchini'],unknown,unknow,unknow,,66.9,0.0,,3.0,,,1.0,,1.0,https://images.openfoodfacts.org/images/products/000/000/000/4067/front_en.16.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4067/front_en.16.200.jpg,unknow,unknow,unknow
4068,green onions,unknow,"['aliments d origine vegetale', 'fruits and vegetables based foods', 'condiments', 'vegetables based foods', 'culinary plants', 'vegetables', 'fresh foods', 'fresh plant-based foods', 'onions and their products', 'fresh vegetables', 'onions', 'fresh onions', 'scallions']",unknow,"canada,united states",,http://world-en.openfoodfacts.org/product/00004068/green-onions,['green onions'],unknown,unknow,unknow,,133.9,0.0,,7.0,,,2.0,,1.0,https://images.openfoodfacts.org/images/products/000/000/000/4068/front_en.9.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4068/front_en.9.200.jpg,unknow,unknow,unknow
4082,red onion,unknow,"['aliments d origine vegetale', 'fruits and vegetables based foods', 'condiments', 'vegetables based foods', 'culinary plants', 'fresh foods', 'fresh plant-based foods', 'onions and their products', 'fresh vegetables', 'onions', 'red onions', 'fresh onions', 'fresh red onions']",unknow,"canada,united states",300.0,http://world-en.openfoodfacts.org/product/00004082/red-onion,['red onions'],unknown,unknow,unknow,,175.7,0.0,,10.0,,,1.0,,1.0,https://images.openfoodfacts.org/images/products/000/000/000/4082/front_en.10.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4082/front_en.10.200.jpg,unknow,unknow,unknow
4135,gala apple,unknow,"['aliments d origine vegetale', 'fruits and vegetables based foods', 'fruits based foods', 'fruits', 'apples', 'sweet apples', 'gala apples']",unknow,"canada,united states",225.0,http://world-en.openfoodfacts.org/product/00004135/gala-apple,['gala apple'],unknown,unknow,c,10.0,212.1,0.0,0.0,13.8,10.1,2.17,0.29,2.5,1.0,https://images.openfoodfacts.org/images/products/000/000/000/4135/front_en.5.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4135/front_en.5.200.jpg,unknow,unknow,unknow
4689,yellow bell pepper,unknow,"['aliments d origine vegetale', 'fruits and vegetables based foods', 'vegetables based foods', 'vegetables', 'fresh foods', 'fresh plant-based foods', 'fresh vegetables', 'sweet peppers', 'fresh sweet peppers']",unknow,"canada,united kingdom,united states",300.0,http://world-en.openfoodfacts.org/product/00004689/yellow-bell-pepper,['yellow pepper'],unknown,unknow,a,4.0,115.0,0.5,0.0,4.4,4.4,1.0,0.8,0.01,1.0,https://images.openfoodfacts.org/images/products/000/000/000/4689/front_en.6.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4689/front_en.6.200.jpg,unknow,unknow,unknow
4725,oven baking potato,unknow,"['aliments d origine vegetale', 'cereals and potatoes', 'potatoes', 'fresh-potatoes']",unknow,"canada,united states",300.0,http://world-en.openfoodfacts.org/product/00004725/oven-baking-potato,['oven baking potatoes'],unknown,unknow,unknow,,389.1,0.0,,21.0,,,2.5,,,https://images.openfoodfacts.org/images/products/000/000/000/4725/front_en.9.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4725/front_en.9.200.jpg,unknow,unknow,unknow
4901,bush’s brown sugar hickory baked beans,full circle market,"['aliments d origine vegetale', 'condiments', 'culinary plants', 'aromatic plants', 'fresh foods', 'aromatic-herbs', 'fresh plant-based foods', 'fresh aromatic plants', 'parsley', 'fresh parsley']","vegan,vegetarian","canada,united states",,http://world-en.openfoodfacts.org/product/00004901/bush-s-brown-sugar-hickory-baked-beans-full-circle-market,"['prepared navy beans', 'eau', 'sugar. brown sugar. contains  or less of: tomato puree tomato paste', 'sel', 'white mustard vinegar', 'mustard seed', 'modified corn starch', 'onion', 'vinegar', 'spice', 'caramel color garlic powder', 'dept.c. knoxville', 'tn 37950-2330 usa gluten free www.bushbeans.com 1-844-558-5455 please refer to the code on end of can. convention scan here for informa 園']","['ble(ia)', 'moutarde(ia)']",unknow,unknow,,83.7,0.5,,3.0,1.0,7.0,2.0,0.0590551167902515,4.0,https://images.openfoodfacts.org/images/products/000/000/000/4901/front_en.14.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4901/front_en.14.200.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4901/ingredients_en.20.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/4901/ingredients_en.20.200.jpg,unknow
6546,freeze dried to go sausage scramble,thrive life,[],unknow,canada,28.916,http://world-en.openfoodfacts.org/product/00006546/freeze-dried-to-go-sausage-scramble-thrive-life,"['freeze dried sausage crumbles cooked pork pork', 'sel', 'sucre', 'spices', 'scrambled eggs egg whites', 'whole eggs', 'corn starch', 'xanthan gum', 'beta carotene', 'potatoes', 'red and green bell peppers']","['ble(ia)', 'oeufs(ia)']",unknow,e,30.0,2020.9,27.6,8.62,31.0,6.9,3.45,,3.02,4.0,https://images.openfoodfacts.org/images/products/000/000/000/6546/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/6546/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/000/000/000/6546/ingredients_en.5.400.jpg,https://images.openfoodfacts.org/images/products/000/000/000/6546/ingredients_en.5.200.jpg,https://images.openfoodfacts.org/images/products/000/000/000/6546/nutrition_en.7.400.jpg
703302420,houmous oignons caramélisés,fontaine santé,"[""aliments d'origine vegetale"", 'condiments', 'matieres grasses', 'produits a tartiner', 'pates a tartiner vegetales', 'produits a tartiner sales', 'sauces', 'trempettes', 'houmous', 'groceries']","végétarien, sans-gluten, végétalien, sans-ogm, sans-gluten, végane",canada,482.0,http://world-en.openfoodfacts.org/product/0000703302420/houmous-oignons-caramelises-fontaine-sante,"['pois chiches', 'eau', 'tahini beurre de sesame', 'huile de canola', 'oignons caramelises', 'sel de mer', 'vinaigre', 'ail', 'huile d’olive', 'epices']",['sesame(ia)'],unknow,b,1.0,974.9,16.7,1.67,16.7,3.33,3.33,6.67,0.917,2.0,https://images.openfoodfacts.org/images/products/000/070/330/2420/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/000/070/330/2420/front_fr.3.200.jpg,https://images.openfoodfacts.org/images/products/000/070/330/2420/ingredients_fr.5.400.jpg,https://images.openfoodfacts.org/images/products/000/070/330/2420/ingredients_fr.5.200.jpg,https://images.openfoodfacts.org/images/products/000/070/330/2420/nutrition_fr.7.400.jpg
12105,purdy assorted chocolates,unknow,[],unknow,canada,,http://world-en.openfoodfacts.org/product/00012105/purdy-assorted-chocolates,"['sugar/glucose-fructose', 'milk ingredients', 'unsweetened chocolate', 'cocoa butter', 'almonds', 'peanuts', 'coconut oil', 'cashews', 'coconut sulphites', 'macadamias', 'hazelnuts', 'cherries sulphites', 'palm kernel and palm oils', 'pecans', 'ginger', 'sel', 'lecithine', 'oranges', 'walnuts', 'glucose syrup wheat', 'lemons', 'coffee', 'glycerol', 'dried egg white', 'vegetable oil', 'strawberry powder', 'raspberry powder', 'cornstarch', 'citric acid', 'invertase', 'eau', 'yeast', 'instant coffee', 'colour', 'sodium benzoate', 'gum arabic', 'baking soda', 'gelatin', 'carrageenan', 'maltol', 'modified starch. truffles also contain: strawberry tequila', 'sambuca', 'brandy', 'kahlua', 'grand marnier', 'vodka', 'ice wine sulphites', 'late harvest wine sulphites. nutrition fack valeur nutrit per about 2 pieces par environ 2 moro amount teneur calories/ calori fat / lipides 9 saturated /s trans / tra contents will vary']","['arachides(ia)', 'noix(ia)', 'oeufs(ia)', 'lait(ia)', 'ble(ia)']",unknow,e,27.0,2045.5,31.111111111111,,51.111111111111,42.222222222222,4.4444444444444,6.6666666666667,0.25,4.0,https://images.openfoodfacts.org/images/products/000/000/001/2105/front_en.8.400.jpg,https://images.openfoodfacts.org/images/products/000/000/001/2105/front_en.8.200.jpg,https://images.openfoodfacts.org/images/products/000/000/001/2105/ingredients_en.4.400.jpg,https://images.openfoodfacts.org/images/products/000/000/001/2105/ingredients_en.4.200.jpg,https://images.openfoodfacts.org/images/products/000/000/001/2105/nutrition_en.10.400.jpg
1630000217,graines de citrouille écalées crues,mayrand chef,"[""aliments d'origine vegetale"", 'graines', 'produits de la plante de courge', 'graines de courge et derives', 'graines de courge']",unknow,canada,1000.0,http://world-en.openfoodfacts.org/product/0001630000217/graines-de-citrouille-ecalees-crues-mayrand-chef,['graines de citrouilles'],unknown,unknow,a,11.0,2343.0,49.0,9.0,10.0,1.0,6.0,,0.0175,1.0,https://images.openfoodfacts.org/images/products/000/163/000/0217/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/000/163/000/0217/front_fr.3.200.jpg,https://images.openfoodfacts.org/images/products/000/163/000/0217/ingredients_fr.8.400.jpg,https://images.openfoodfacts.org/images/products/000/163/000/0217/ingredients_fr.8.200.jpg,https://images.openfoodfacts.org/images/products/000/163/000/0217/nutrition_fr.5.400.jpg
20125,38% cocoa milk chocolate,purdys,"['sweet snacks', 'cocoa and its products', 'chocolates', 'milk chocolates', 'milk chocolate bar']","kosher, kosher check, sustainable cocoa",canada,40.0,http://world-en.openfoodfacts.org/product/00020125/38-cocoa-milk-chocolate-purdys,"['sucre', 'milk ingredients', 'cocoa butter', 'unsweetened chocolate', 'lecithin soy and/or sunflower and/or canola']","['soja(ia)', 'lait(ia)']","eggs,gluten,nuts,peanuts",e,29.0,2301.2,37.5,,52.5,,2.5,7.5,0.188,4.0,https://images.openfoodfacts.org/images/products/000/000/002/0125/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0125/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0125/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0125/ingredients_en.10.200.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0125/nutrition_en.7.400.jpg
20126,60% cocoa dark chocolate,purdys,"['sweet snacks', 'cocoa and its products', 'chocolates', 'dark chocolates', 'dark chocolate bar']","kosher, kosher check, sustainable cocoa",canada,40.0,http://world-en.openfoodfacts.org/product/00020126/60-cocoa-dark-chocolate-purdys,"['unsweetened chocolate', 'sucre', 'cocoa butter', 'lecithine', 'vanilla extract']",['soja(ia)'],"eggs,gluten,milk,nuts,peanuts",e,22.0,2196.6,40.0,,52.5,37.5,10.0,5.0,0.0125,4.0,https://images.openfoodfacts.org/images/products/000/000/002/0126/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0126/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0126/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0126/ingredients_en.10.200.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0126/nutrition_en.7.400.jpg
20127,70% cocoa dark chocolate,purdys,"['sweet snacks', 'cocoa and its products', 'chocolates', 'dark chocolates', 'dark chocolate bar']","kosher, kosher check, sustainable cocoa",canada,40.0,http://world-en.openfoodfacts.org/product/00020127/70-cocoa-dark-chocolate-purdys,"['unsweetened chocolate', 'sucre', 'cocoa butter', 'lecithine', 'vanilla extract']",['soja(ia)'],"eggs,gluten,milk,nuts,peanuts",e,19.0,2196.6,42.5,,47.5,27.5,,7.5,0.0187,4.0,https://images.openfoodfacts.org/images/products/000/000/002/0127/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0127/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0127/ingredients_en.11.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0127/ingredients_en.11.200.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0127/nutrition_en.7.400.jpg
20128,white chocolate,purdys,"['sweet snacks', 'cocoa and its products', 'chocolates', 'white chocolates', 'white chocolate bars']","kosher, kosher check, sustainable cocoa",canada,40.0,http://world-en.openfoodfacts.org/product/00020128/white-chocolate-purdys,"['sucre', 'milk ingredients', 'cocoa butter', 'lecithin soy and/or sunflower and/or canola', 'vanilla flavour']","['soja(ia)', 'lait(ia)']","eggs,gluten,nuts,peanuts",e,32.0,2301.2,35.0,,55.0,,0.0,7.5,0.25,4.0,https://images.openfoodfacts.org/images/products/000/000/002/0128/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0128/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0128/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0128/ingredients_en.10.200.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0128/nutrition_en.7.400.jpg
20196,milk chocolate & almonds,purdys,"['sweet snacks', 'cocoa and its products', 'chocolates', 'milk chocolates', 'chocolates with almonds', 'milk chocolate bar']","kosher, kosher check, sustainable cocoa",canada,50.0,http://world-en.openfoodfacts.org/product/00020196/milk-chocolate-almonds-purdys,"['sucre', 'almonds', 'milk ingredients', 'cocoa butter', 'unsweetened chocolate', 'coconut oil', 'lecithine']","['soja(ia)', 'noix(ia)', 'lait(ia)']","eggs,gluten,nuts,peanuts",e,23.0,2343.0,40.0,,44.0,36.0,6.0,10.0,0.15,4.0,https://images.openfoodfacts.org/images/products/000/000/002/0196/front_en.3.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0196/front_en.3.200.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0196/ingredients_en.10.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0196/ingredients_en.10.200.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0196/nutrition_en.7.400.jpg
20242,chocolate chewie,purdys,"['sweet snacks', 'cocoa and its products', 'confectioneries', 'bars', 'chocolate candies', 'bars covered with chocolate']",sustainable cocoa,canada,50.0,http://world-en.openfoodfacts.org/product/00020242/chocolate-chewie-purdys,"['sugars sugar', 'glucose', 'milk ingredients', 'almonds', 'cocoa butter', 'unsweetened chocolate', 'coconut oil', 'lecithine', 'sel', 'cornstarch', 'vegetable fat palm and/or shea', 'titanium dioxide', 'iron oxide', 'eau']","['soja(ia)', 'noix(ia)', 'lait(ia)', 'ble(ia)']","eggs,gluten,nuts,peanuts,sulphur-dioxide-and-sulphites",e,24.0,1841.0,26.0,12.0,48.0,36.0,4.0,6.0,0.125,4.0,https://images.openfoodfacts.org/images/products/000/000/002/0242/front_en.7.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0242/front_en.7.200.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0242/ingredients_en.14.400.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0242/ingredients_en.14.200.jpg,https://images.openfoodfacts.org/images/products/000/000/002/0242/nutrition_en.11.400.jpg
4216100168,yogourt,beurrerie du patrimoine,"['produits fermentes', 'desserts', 'produits laitiers fermentes', 'desserts lactes', 'desserts lactes fermentes', 'yaourts']",ecocert,canada,500.0,http://world-en.openfoodfacts.org/product/0004216100168/yogourt-beurrerie-du-patrimoine,"['lait de chevre pasteurise', 'bleuets', 'bacteries acidophilus bifidus']","['ble(ia)', 'lait(ia)']",sans gluten,b,2.0,382.4,2.29,1.43,14.3,9.71,2.86,5.14,0.0653,1.0,unknow,unknow,unknow,unknow,unknow
4216101100,mélange à gâteau,cuisine l'angélique,[],"ecocert, prix de l'innovation 2010, organic",canada,320.0,http://world-en.openfoodfacts.org/product/0004216101100/melange-a-gateau-cuisine-l-angelique,"['melange de farine riz brun', 'poudre a pate sans alun', 'gomme de guar', 'sel de mer']",['ble(ia)'],"sans arachide,sans ble,sans caséine,sans gluten,sans maïs,sans noix,sans pomme de terre,sans soja,sans sésame",c,7.0,1464.4,1.67,0.833,30.0,8.33,1.67,1.67,0.275,4.0,unknow,unknow,unknow,unknow,unknow
